Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Spain,Potatoes,1995,248909,1562.2,3663.95,15.28
Spain,Potatoes,1996,275299,1750.6,4951.55,18.72
Spain,Potatoes,1997,248096,1601.8,4577.97,15.05
Spain,Potatoes,1998,219858,1656.1,4203.89,15.7
Spain,Potatoes,1999,253641,1721.2,4151.29,15.52
Spain,Potatoes,2000,236129,1922.7,5214.33,14.22
Spain,Potatoes,2001,195852,1753.8,7094.91,16.38
Spain,Potatoes,2002,230428,1487.1,5437.8,16.3
Spain,Potatoes,2003,190818,1776.7,7848.01,11.63
Spain,Potatoes,2004,202669,1457.7,4562.45,18.23
Spain,Potatoes,2005,219488,1546.1,6797.17,13.74
Spain,Potatoes,2006,221531,1275.1,6619.65,13.94
Spain,Potatoes,2007,228420,1659.4,6580.68,13.64
Spain,Potatoes,2008,216095,1835.5,4617.26,14.32
Spain,Potatoes,2009,253793,1762.9,5667.86,17.94
Spain,Potatoes,2010,246727,1996.9,7656.7,16.12
Spain,Potatoes,2011,217265,1453.6,5908.53,15.56
Spain,Potatoes,2012,196376,1778.4,6134.43,19.64
Spain,Potatoes,2013,183113,1301.3,8015.05,15.57
Spain,"Rice, paddy",1995,98674,1775.0,3645.72,15.82
Spain,"Rice, paddy",1996,94063,1689.3,5249.08,14.41
Spain,"Rice, paddy",1997,83054,1853.0,3972.03,15.7
Spain,"Rice, paddy",1998,104669,1696.5,6830.49,17.34
Spain,"Rice, paddy",1999,115465,1584.7,6395.2,17.72
Spain,"Rice, paddy",2000,85959,1374.7,4617.97,16.08
Spain,"Rice, paddy",2001,97866,1478.7,5867.23,13.91
Spain,"Rice, paddy",2002,85004,2084.6,4119.6,13.66
Spain,"Rice, paddy",2003,88637,1681.8,4761.84,13.55
Spain,"Rice, paddy",2004,105610,1942.8,4092.55,14.99
Spain,"Rice, paddy",2005,84605,1909.2,7836.5,16.59
Spain,"Rice, paddy",2006,106905,2184.9,6892.75,13.25
Spain,"Rice, paddy",2007,82900,1468.0,7867.48,17.23
Spain,"Rice, paddy",2008,89066,1760.1,5528.25,15.26
Spain,"Rice, paddy",2009,112539,2141.1,5580.72,15.62
Spain,"Rice, paddy",2010,89087,1522.5,6377.54,17.35
Spain,"Rice, paddy",2011,92428,1705.6,8563.57,15.8
Spain,"Rice, paddy",2012,119120,1854.5,7725.65,16.79
Spain,"Rice, paddy",2013,104616,1489.2,7766.99,15.16
Spain,Wheat,1995,66077,1332.1,4947.37,16.18
Spain,Wheat,1996,66774,2055.6,6016.88,14.1
Spain,Wheat,1997,76289,1302.7,3981.25,14.61
Spain,Wheat,1998,83780,1594.2,6280.8,16.81
Spain,Wheat,1999,69469,1575.5,7209.34,16.21
Spain,Wheat,2000,61505,1544.8,5475.27,15.33
Spain,Wheat,2001,79347,1479.7,6867.76,13.84
Spain,Wheat,2002,80253,1834.3,7178.66,14.93
Spain,Wheat,2003,76998,1764.0,7644.9,14.3
Spain,Wheat,2004,69998,1671.7,6584.51,12.28
Spain,Wheat,2005,80517,1594.9,7322.4,14.45
Spain,Wheat,2006,80923,1940.5,7242.95,13.61
Spain,Wheat,2007,63495,1650.8,7783.69,16.16
Spain,Wheat,2008,68985,1912.6,7190.71,17.01
Spain,Wheat,2009,78491,1675.9,4849.4,15.74
Spain,Wheat,2010,65645,1956.3,6269.93,15.49
Spain,Wheat,2011,80899,1737.4,5624.03,17.59
Spain,Wheat,2012,86216,2248.9,6815.58,16.04
Spain,Wheat,2013,84111,1823.5,5533.56,16.96
Spain,Soybeans,1995,55347,1902.1,4389.42,17.31
Spain,Soybeans,1996,52760,1512.3,4686.09,16.15
Spain,Soybeans,1997,44528,1876.4,4264.92,17.94
Spain,Soybeans,1998,45013,1615.2,6376.34,16.11
Spain,Soybeans,1999,44640,1743.4,4893.69,15.68
Spain,Soybeans,2000,51060,1715.9,5295.79,12.21
Spain,Soybeans,2001,60596,2371.6,4223.59,19.31
Spain,Soybeans,2002,48055,1622.2,6413.22,15.45
Spain,Soybeans,2003,38818,1305.7,7014.04,12.76
Spain,Soybeans,2004,47494,1779.4,5690.23,17.33
Spain,Soybeans,2005,43787,1862.9,6180.57,14.29
Spain,Soybeans,2006,39811,1852.6,5638.57,15.42
Spain,Soybeans,2007,37040,1600.6,5264.08,13.46
Spain,Soybeans,2008,39326,1528.9,4992.57,16.45
Spain,Soybeans,2009,40829,1760.9,6335.84,15.89
Spain,Soybeans,2010,46908,1215.2,6236.13,15.9
Spain,Soybeans,2011,54865,1569.2,5018.24,16.15
Spain,Soybeans,2012,46711,1977.7,6343.69,14.9
Spain,Soybeans,2013,55498,1728.9,8515.28,18.89
Spain,Sorghum,1995,67212,1695.1,4863.67,15.58
Spain,Sorghum,1996,66984,1459.2,5201.22,16.94
Spain,Sorghum,1997,55180,1427.5,3225.41,17.7
Spain,Sorghum,1998,63809,1792.3,4648.25,14.73
Spain,Sorghum,1999,48941,1478.1,3706.79,14.4
Spain,Sorghum,2000,53008,1264.5,5204.01,16.37
Spain,Sorghum,2001,63356,1201.5,4099.08,15.48
Spain,Sorghum,2002,52844,1629.0,4973.4,15.1
Spain,Sorghum,2003,59709,1768.3,4400.99,14.74
Spain,Sorghum,2004,68393,1709.9,4344.93,17.7
Spain,Sorghum,2005,64609,1803.1,4823.64,14.96
Spain,Sorghum,2006,65789,1679.8,7312.43,15.1
Spain,Sorghum,2007,52881,1646.0,5518.65,15.96
Spain,Sorghum,2008,47261,1380.6,6665.51,13.06
Spain,Sorghum,2009,56842,1493.7,5861.68,16.44
Spain,Sorghum,2010,51725,1838.2,7303.76,16.92
Spain,Sorghum,2011,54660,1509.7,6366.14,15.78
Spain,Sorghum,2012,54506,1617.9,5704.2,15.42
Spain,Sorghum,2013,54880,1618.1,8987.8,16.05
Spain,Cassava,1995,139319,1486.7,5433.3,17.49
Spain,Cassava,1996,150751,1898.1,3350.15,16.39
Spain,Cassava,1997,134526,1870.1,4601.72,13.34
Spain,Cassava,1998,139226,1918.4,4824.91,16.23
Spain,Cassava,1999,158994,1515.0,4620.62,14.48
Spain,Cassava,2000,182280,2008.0,4987.53,16.94
Spain,Cassava,2001,133477,1625.1,6836.65,13.33
Spain,Cassava,2002,166682,1947.2,3897.85,13.85
Spain,Cassava,2003,139802,1585.7,6322.88,15.38
Spain,Cassava,2004,141632,1510.8,4618.27,15.31
Spain,Cassava,2005,144277,1672.6,4643.95,15.27
Spain,Cassava,2006,165575,1748.4,7766.12,18.26
Spain,Cassava,2007,174712,1376.3,5053.46,15.87
Spain,Cassava,2008,139661,1444.7,7514.5,13.26
Spain,Cassava,2009,145783,1899.1,4833.51,16.01
Spain,Cassava,2010,173715,1356.9,7691.72,15.3
Spain,Cassava,2011,145105,1292.5,8670.08,14.19
Spain,Cassava,2012,152869,1219.0,8584.99,15.36
Spain,Cassava,2013,156646,1858.5,6466.07,16.55
Spain,Sweet potatoes,1995,163902,1547.6,6089.03,17.22
Spain,Sweet potatoes,1996,164028,1944.7,6253.05,16.76
Spain,Sweet potatoes,1997,146401,1519.8,4782.81,15.41
Spain,Sweet potatoes,1998,150428,2001.4,4725.76,15.1
Spain,Sweet potatoes,1999,124664,1779.0,5590.01,14.44
Spain,Sweet potatoes,2000,126092,1876.2,5461.18,14.27
Spain,Sweet potatoes,2001,161568,1638.9,5551.6,16.5
Spain,Sweet potatoes,2002,143158,2070.3,4792.41,15.98
Spain,Sweet potatoes,2003,115319,1608.3,3921.6,15.08
Spain,Sweet potatoes,2004,126328,1881.4,6209.59,16.36
Spain,Sweet potatoes,2005,160960,1821.8,7041.81,18.06
Spain,Sweet potatoes,2006,149138,1691.3,5625.25,16.24
Spain,Sweet potatoes,2007,142264,1605.2,7615.04,14.38
Spain,Sweet potatoes,2008,124713,1554.8,7888.07,11.79
Spain,Sweet potatoes,2009,139596,1808.4,5354.94,16.3
Spain,Sweet potatoes,2010,146586,1807.5,6869.2,14.28
Spain,Sweet potatoes,2011,128350,1570.4,5041.54,14.64
Spain,Sweet potatoes,2012,141251,1947.8,7628.13,15.92
Spain,Sweet potatoes,2013,120018,1717.0,6138.95,16.85
Spain,Yams,1995,145637,1500.3,4151.97,16.2
Spain,Yams,1996,147894,2081.5,3733.56,17.68
Spain,Yams,1997,168629,1718.6,6067.54,15.76
Spain,Yams,1998,159650,1757.5,4075.19,17.93
Spain,Yams,1999,155625,1949.9,5369.51,18.24
Spain,Yams,2000,155005,1707.5,4337.01,12.29
Spain,Yams,2001,136637,2081.3,5404.16,14.38
Spain,Yams,2002,163319,1227.5,7476.95,16.82
Spain,Yams,2003,116182,1211.8,6825.01,15.66
Spain,Yams,2004,114239,1213.0,7668.32,15.11
Spain,Yams,2005,128868,2035.7,6070.71,16.2
Spain,Yams,2006,133130,1682.1,6700.13,16.38
Spain,Yams,2007,116443,1087.1,4693.25,14.61
Spain,Yams,2008,146203,1578.7,5286.76,16.63
Spain,Yams,2009,120143,1473.4,4781.67,15.94
Spain,Yams,2010,131790,1676.7,8086.45,14.69
Spain,Yams,2011,148141,1584.2,6648.97,15.48
Spain,Yams,2012,122412,1294.7,6242.29,16.87
Spain,Yams,2013,167165,1534.3,8141.21,15.2
Spain,Plantains and others,1995,204428,1985.8,4082.68,16.9
Spain,Plantains and others,1996,158234,1384.9,6066.42,11.08
Spain,Plantains and others,1997,186252,1755.8,3419.62,15.26
Spain,Plantains and others,1998,173018,1691.2,5472.82,16.84
Spain,Plantains and others,1999,189576,1855.2,5643.34,14.95
Spain,Plantains and others,2000,159369,1631.2,5936.85,16.25
Spain,Plantains and others,2001,163801,1759.4,5948.21,15.93
Spain,Plantains and others,2002,220609,1983.8,5400.72,16.34
Spain,Plantains and others,2003,165579,1831.1,6376.88,16.07
Spain,Plantains and others,2004,198137,1451.9,7622.14,14.61
Spain,Plantains and others,2005,203381,1412.5,4883.72,17.31
Spain,Plantains and others,2006,150928,1339.8,6709.73,15.39
Spain,Plantains and others,2007,209285,1602.2,4981.4,12.41
Spain,Plantains and others,2008,202422,1600.7,5320.59,15.13
Spain,Plantains and others,2009,154938,2059.4,4720.73,12.56
Spain,Plantains and others,2010,163389,1982.6,8249.11,15.26
Spain,Plantains and others,2011,213823,1887.2,6407.98,15.75
Spain,Plantains and others,2012,173755,1460.4,8697.91,17.89
Spain,Plantains and others,2013,217906,1977.8,8136.16,13.97
Italy,Maize,1995,100151,698.3,54921.95,22.96
Italy,Maize,1996,126428,1004.5,63112.76,23.17
Italy,Maize,1997,105726,593.1,80338.55,22.21
Italy,Maize,1998,91951,507.3,79723.49,27.35
Italy,Maize,1999,95329,717.9,65588.12,23.45
Italy,Maize,2000,109939,499.0,43536.69,21.27
Italy,Maize,2001,117453,1128.4,62904.63,25.56
Italy,Maize,2002,119514,791.8,41115.66,19.77
Italy,Maize,2003,125129,703.8,60427.98,24.12
Italy,Maize,2004,125721,784.5,89354.25,19.62
Italy,Maize,2005,110833,1068.2,87051.19,24.55
Italy,Maize,2006,113521,259.2,92613.57,23.14
Italy,Maize,2007,103755,613.4,70558.31,23.9
Italy,Maize,2008,111067,730.9,85395.6,24.47
Italy,Maize,2009,117070,380.2,66527.45,24.14
Italy,Maize,2010,98153,584.6,48548.57,22.99
Italy,Maize,2011,91242,764.2,53901.98,26.37
Italy,Maize,2012,128715,903.0,60166.61,23.68
Italy,Maize,2013,106057,513.4,89435.01,23.86
Italy,Potatoes,1995,169982,520.0,49685.68,25.53
Italy,Potatoes,1996,215495,716.3,72225.91,22.19
Italy,Potatoes,1997,209564,706.7,68604.5,25.46
Italy,Potatoes,1998,212047,942.4,87783.56,23.55
Italy,Potatoes,1999,223808,898.8,91526.41,24.25
Italy,Potatoes,2000,186216,370.7,91476.95,23.37
Italy,Potatoes,2001,196756,395.5,55442.15,24.93
Italy,Potatoes,2002,204085,587.2,48941.96,24.2
Italy,Potatoes,2003,175583,390.8,57673.66,24.08
Italy,Potatoes,2004,246297,734.7,71322.35,24.65
Italy,Potatoes,2005,208897,703.3,54785.36,24.0
Italy,Potatoes,2006,205847,1018.1,94140.64,25.41
Italy,Potatoes,2007,189477,1219.3,62896.64,27.61
Italy,Potatoes,2008,230140,1338.4,53530.25,23.9
Italy,Potatoes,2009,222513,822.9,94227.49,27.05
Italy,Potatoes,2010,213657,1076.9,50749.74,22.98
Italy,Potatoes,2011,223139,610.6,83379.28,20.9
Italy,Potatoes,2012,235206,880.0,60115.71,26.15
Italy,Potatoes,2013,198447,638.8,68873.84,22.81
Italy,"Rice, paddy",1995,90081,94.9,91307.53,24.91
Italy,"Rice, paddy",1996,102819,970.4,71013.9,24.28
Italy,"Rice, paddy",1997,88413,575.3,64475.53,23.58
Italy,"Rice, paddy",1998,108759,662.0,91655.07,24.83
Italy,"Rice, paddy",1999,111843,584.8,87989.83,21.97
Italy,"Rice, paddy",2000,96741,338.6,68462.04,23.01
Italy,"Rice, paddy",2001,79710,964.6,43351.74,22.52
Italy,"Rice, paddy",2002,91352,415.7,57509.84,22.01
Italy,"Rice, paddy",2003,107374,544.4,57302.06,23.02
Italy,"Rice, paddy",2004,111593,479.2,71625.0,20.56
Italy,"Rice, paddy",2005,102122,945.2,79160.33,22.18
Italy,"Rice, paddy",2006,96719,835.5,44613.15,22.98
Italy,"Rice, paddy",2007,76513,600.5,86081.66,25.05
Italy,"Rice, paddy",2008,78121,755.3,53015.84,25.89
Italy,"Rice, paddy",2009,96767,665.2,74548.4,22.17
Italy,"Rice, paddy",2010,83600,709.8,54381.32,22.87
Italy,"Rice, paddy",2011,92809,1160.8,53368.66,22.81
Italy,"Rice, paddy",2012,107045,866.4,92693.3,23.85
Italy,"Rice, paddy",2013,102620,555.7,68949.5,22.53
Italy,Wheat,1995,72782,756.2,59011.99,24.13
Italy,Wheat,1996,56738,650.6,77313.51,23.69
Italy,Wheat,1997,74367,363.2,76998.09,22.49
Italy,Wheat,1998,68981,952.0,55874.97,23.02
Italy,Wheat,1999,63184,954.9,92872.39,25.71
Italy,Wheat,2000,60834,992.3,89149.1,26.53
Italy,Wheat,2001,65966,850.7,55211.22,26.45
Italy,Wheat,2002,75889,951.2,88001.23,21.07
Italy,Wheat,2003,58589,837.2,43565.58,27.61
Italy,Wheat,2004,65167,337.3,50630.72,23.83
Italy,Wheat,2005,59229,520.0,65759.14,22.61
Italy,Wheat,2006,76061,645.2,82465.39,24.47
Italy,Wheat,2007,76684,691.6,75567.33,24.42
Italy,Wheat,2008,71077,1194.8,65820.16,25.53
Italy,Wheat,2009,66793,811.1,45895.95,23.44
Italy,Wheat,2010,76033,881.0,48779.64,21.07
Italy,Wheat,2011,58084,687.8,47351.94,24.66
Italy,Wheat,2012,58146,819.2,66773.33,25.65
Italy,Wheat,2013,74353,1001.4,86087.13,24.54
Italy,Soybeans,1995,51049,644.5,60361.82,22.97
Italy,Soybeans,1996,39001,984.7,77780.76,24.55
Italy,Soybeans,1997,40248,543.3,74112.06,25.48
Italy,Soybeans,1998,46777,816.4,41555.2,23.7
Italy,Soybeans,1999,53214,917.8,92184.82,24.78
Italy,Soybeans,2000,45918,1046.5,47310.21,26.07
Italy,Soybeans,2001,48612,638.7,59871.21,23.85
Italy,Soybeans,2002,40303,679.8,43654.9,26.92
Italy,Soybeans,2003,42316,936.7,74937.26,23.87
Italy,Soybeans,2004,42222,605.5,92685.32,24.03
Italy,Soybeans,2005,45307,291.8,77380.26,23.42
Italy,Soybeans,2006,36513,559.8,57991.72,25.43
Italy,Soybeans,2007,50032,711.0,73109.07,24.13
Italy,Soybeans,2008,36724,758.1,65870.16,25.51
Italy,Soybeans,2009,43141,1008.9,54575.26,24.81
Italy,Soybeans,2010,39025,862.2,51921.31,21.43
Italy,Soybeans,2011,43603,751.1,60013.03,25.85
Italy,Soybeans,2012,40053,845.9,72898.23,23.45
Italy,Soybeans,2013,44952,697.7,45075.98,23.18
Italy,Sorghum,1995,52009,754.9,83464.99,23.01
Italy,Sorghum,1996,46956,978.7,54587.13,21.23
Italy,Sorghum,1997,58148,906.2,71008.94,26.2
Italy,Sorghum,1998,44734,513.2,58989.39,24.97
Italy,Sorghum,1999,65648,834.1,86024.55,22.67
Italy,Sorghum,2000,57005,501.6,46103.06,24.71
Italy,Sorghum,2001,59664,1168.6,82162.39,25.95
Italy,Sorghum,2002,56566,902.1,55941.14,24.68
Italy,Sorghum,2003,54845,809.7,42622.07,23.83
Italy,Sorghum,2004,49657,884.4,50318.38,22.65
Italy,Sorghum,2005,47540,963.9,52343.49,23.94
Italy,Sorghum,2006,46602,778.7,89692.9,26.56
Italy,Sorghum,2007,54596,509.8,49661.07,25.04
Italy,Sorghum,2008,53916,1108.6,57901.69,24.82
Italy,Sorghum,2009,50113,840.3,57106.28,23.89
Italy,Sorghum,2010,65451,984.9,55103.02,20.83
Italy,Sorghum,2011,57352,907.2,47307.38,23.49
Italy,Sorghum,2012,58348,791.0,92217.28,24.74
Italy,Sorghum,2013,45618,601.7,58197.1,23.01
Italy,Cassava,1995,130142,1032.7,47403.33,23.39
Italy,Cassava,1996,122487,486.3,45195.48,24.83
Italy,Cassava,1997,165706,1038.1,68696.68,21.94
Italy,Cassava,1998,120601,973.3,54395.76,26.31
Italy,Cassava,1999,169450,963.8,70650.2,23.78
Italy,Cassava,2000,176790,993.8,92598.16,25.88
Italy,Cassava,2001,123165,517.8,83071.42,25.23
Italy,Cassava,2002,153836,789.8,61083.51,24.1
Italy,Cassava,2003,160102,386.9,57349.99,20.87
Italy,Cassava,2004,136721,798.9,80180.86,23.78
Italy,Cassava,2005,158057,745.8,89595.4,23.58
Italy,Cassava,2006,119140,566.9,79461.33,25.36
Italy,Cassava,2007,172620,1100.8,49093.97,21.68
Italy,Cassava,2008,158682,939.7,62992.81,22.01
Italy,Cassava,2009,174688,736.1,85154.64,24.65
Italy,Cassava,2010,174541,642.9,76935.18,22.61
Italy,Cassava,2011,128232,799.2,84088.19,25.33
Italy,Cassava,2012,134447,690.4,47250.82,22.6
Italy,Cassava,2013,132748,707.1,46745.53,25.82
Italy,Sweet potatoes,1995,115825,740.0,62015.86,24.13
Italy,Sweet potatoes,1996,111553,663.3,43015.94,23.68
Italy,Sweet potatoes,1997,150782,901.5,66541.19,24.18
Italy,Sweet potatoes,1998,124043,1136.6,79165.25,23.22
Italy,Sweet potatoes,1999,130891,1049.9,44124.23,21.75
Italy,Sweet potatoes,2000,148027,785.3,65720.08,23.98
Italy,Sweet potatoes,2001,157518,1060.3,72268.49,23.46
Italy,Sweet potatoes,2002,138663,1142.4,74228.7,21.6
Italy,Sweet potatoes,2003,125214,604.5,79986.62,22.89
Italy,Sweet potatoes,2004,148524,494.1,92003.42,24.0
Italy,Sweet potatoes,2005,114158,715.4,81626.61,25.62
Italy,Sweet potatoes,2006,101749,520.2,68752.42,27.6
Italy,Sweet potatoes,2007,150978,1145.9,64866.85,23.02
Italy,Sweet potatoes,2008,123020,933.6,72737.1,23.04
Italy,Sweet potatoes,2009,136583,930.6,85700.4,21.85
Italy,Sweet potatoes,2010,134680,925.9,77275.98,23.33
Italy,Sweet potatoes,2011,123397,479.5,75137.67,23.87
Italy,Sweet potatoes,2012,136030,800.3,67763.78,24.25
Italy,Sweet potatoes,2013,139989,1190.5,73220.33,23.33
Italy,Yams,1995,159706,698.4,52957.13,21.76
Italy,Yams,1996,145590,818.6,68352.24,23.75
Italy,Yams,1997,113785,505.4,60110.61,24.16
Italy,Yams,1998,117336,545.5,81617.48,27.33
Italy,Yams,1999,153220,678.7,89639.97,22.11
Italy,Yams,2000,169113,876.7,44963.03,19.76
Italy,Yams,2001,113222,486.2,71757.62,25.49
Italy,Yams,2002,146414,485.1,78884.18,25.13
Italy,Yams,2003,117807,993.0,88305.68,26.46
Italy,Yams,2004,133861,511.5,93506.71,22.7
Italy,Yams,2005,122906,971.3,52363.0,25.77
Italy,Yams,2006,114767,634.4,53665.91,21.39
Italy,Yams,2007,143243,502.1,41701.76,21.96
Italy,Yams,2008,148410,721.1,49935.6,24.39
Italy,Yams,2009,127692,683.4,74671.36,24.16
Italy,Yams,2010,140823,1076.6,84809.75,22.96
Italy,Yams,2011,137179,770.8,82850.48,24.9
Italy,Yams,2012,151484,909.7,52608.99,24.84
Italy,Yams,2013,115350,703.9,92685.34,25.19
Italy,Plantains and others,1995,191306,761.7,70504.98,22.08
Italy,Plantains and others,1996,191946,746.1,89582.11,23.52
Italy,Plantains and others,1997,136467,294.6,66659.49,27.34
Italy,Plantains and others,1998,170753,753.5,80934.86,27.15
Italy,Plantains and others,1999,203237,839.3,49532.04,22.42
Italy,Plantains and others,2000,176073,515.3,91661.28,24.53
Italy,Plantains and others,2001,197563,800.4,54069.62,22.92
Italy,Plantains and others,2002,144267,79.9,80794.08,24.17
Italy,Plantains and others,2003,168961,1205.6,45602.76,27.2
Italy,Plantains and others,2004,191967,898.5,47819.6,23.37
Italy,Plantains and others,2005,198833,829.0,60020.1,22.66
Italy,Plantains and others,2006,196516,923.3,53738.1,21.94
Italy,Plantains and others,2007,167390,839.3,48084.3,25.6
Italy,Plantains and others,2008,158557,895.1,81800.85,22.61
Italy,Plantains and others,2009,187477,1089.2,91349.31,24.0
Italy,Plantains and others,2010,196749,804.9,62647.48,24.98
Italy,Plantains and others,2011,188528,77.3,67879.2,22.65
Italy,Plantains and others,2012,170620,727.2,59649.34,25.83
Italy,Plantains and others,2013,172047,474.7,84266.76,24.63
Egypt,Maize,1995,99573,973.6,15812.68,10.56
Egypt,Maize,1996,93041,1109.8,22521.21,7.02
Egypt,Maize,1997,93210,1118.3,19640.57,10.04
Egypt,Maize,1998,87354,953.0,26337.38,7.58
Egypt,Maize,1999,105720,1328.8,19216.04,9.47
Egypt,Maize,2000,113184,1163.9,14406.45,8.85
Egypt,Maize,2001,109534,1090.4,19693.46,9.74
Egypt,Maize,2002,89961,1164.9,15926.07,9.69
Egypt,Maize,2003,115098,844.7,17239.4,10.11
Egypt,Maize,2004,104351,1021.0,29875.63,10.52
Egypt,Maize,2005,119540,1242.0,25445.83,8.46
Egypt,Maize,2006,86385,1233.9,15122.05,8.24
Egypt,Maize,2007,96968,1176.1,23118.66,11.13
Egypt,Maize,2008,108124,947.7,20936.87,8.92
Egypt,Maize,2009,85302,877.4,14897.03,10.26
Egypt,Maize,2010,114602,1209.6,25675.85,9.91
Egypt,Maize,2011,108448,583.6,16692.24,9.29
Egypt,Maize,2012,101411,943.2,23762.28,10.9
Egypt,Maize,2013,105239,1187.6,25044.08,10.37
Egypt,Potatoes,1995,234584,1190.4,15248.17,11.65
Egypt,Potatoes,1996,187069,898.1,17311.42,8.81
Egypt,Potatoes,1997,228758,990.1,20157.87,7.44
Egypt,Potatoes,1998,223885,1043.1,14204.82,9.3
Egypt,Potatoes,1999,196481,1691.7,23051.27,12.31
Egypt,Potatoes,2000,175659,885.0,23720.27,8.51
Egypt,Potatoes,2001,177119,872.9,15960.78,11.68
Egypt,Potatoes,2002,248310,1245.4,27217.07,12.33
Egypt,Potatoes,2003,225414,843.3,18056.18,10.9
Egypt,Potatoes,2004,219385,865.0,29819.77,12.71
Egypt,Potatoes,2005,162869,857.9,21029.28,8.19
Egypt,Potatoes,2006,187800,808.7,21127.08,10.12
Egypt,Potatoes,2007,198148,1194.4,16986.86,11.1
Egypt,Potatoes,2008,213276,824.8,28207.38,9.54
Egypt,Potatoes,2009,204466,945.6,16407.57,8.29
Egypt,Potatoes,2010,238356,944.8,24663.3,12.26
Egypt,Potatoes,2011,223506,783.0,21343.89,10.47
Egypt,Potatoes,2012,247914,1364.0,29863.93,12.2
Egypt,Potatoes,2013,221998,1436.8,28092.75,10.62
Egypt,"Rice, paddy",1995,74538,1097.2,25299.19,9.33
Egypt,"Rice, paddy",1996,69848,718.9,18834.43,9.91
Egypt,"Rice, paddy",1997,90541,1248.0,23809.19,6.63
Egypt,"Rice, paddy",1998,98186,909.6,15340.15,11.01
Egypt,"Rice, paddy",1999,77423,1015.5,30276.08,12.1
Egypt,"Rice, paddy",2000,99950,1235.0,19530.05,7.9
Egypt,"Rice, paddy",2001,91320,1041.0,23795.01,8.97
Egypt,"Rice, paddy",2002,75002,864.0,28265.7,8.0
Egypt,"Rice, paddy",2003,97931,1083.6,26983.28,12.14
Egypt,"Rice, paddy",2004,84144,1106.7,28919.45,7.91
Egypt,"Rice, paddy",2005,84692,1027.5,16563.97,10.94
Egypt,"Rice, paddy",2006,100893,1015.7,29165.9,10.63
Egypt,"Rice, paddy",2007,80655,902.5,26815.71,9.76
Egypt,"Rice, paddy",2008,99127,986.0,22817.74,12.46
Egypt,"Rice, paddy",2009,78154,832.9,21060.65,6.8
Egypt,"Rice, paddy",2010,91509,1362.1,20932.45,10.32
Egypt,"Rice, paddy",2011,100751,799.2,19602.67,11.56
Egypt,"Rice, paddy",2012,76876,1191.1,26093.41,12.75
Egypt,"Rice, paddy",2013,88453,1113.2,24458.6,13.96
Egypt,Wheat,1995,54520,973.5,20937.94,11.04
Egypt,Wheat,1996,75656,1159.3,17210.71,15.12
Egypt,Wheat,1997,58343,913.6,21075.18,9.41
Egypt,Wheat,1998,71335,1172.0,24469.36,8.1
Egypt,Wheat,1999,73985,853.3,18096.31,9.91
Egypt,Wheat,2000,67787,1370.4,13633.39,11.31
Egypt,Wheat,2001,75254,1039.6,29472.35,9.32
Egypt,Wheat,2002,68858,563.7,30009.6,13.4
Egypt,Wheat,2003,62615,1018.1,18001.16,8.96
Egypt,Wheat,2004,57970,1535.8,20126.45,8.16
Egypt,Wheat,2005,62833,1322.2,25533.78,10.16
Egypt,Wheat,2006,76416,1203.6,30882.78,11.0
Egypt,Wheat,2007,62414,1204.3,14825.89,13.97
Egypt,Wheat,2008,72790,1531.5,24056.54,9.04
Egypt,Wheat,2009,60821,1164.6,16103.62,7.43
Egypt,Wheat,2010,62625,1241.0,31754.77,11.85
Egypt,Wheat,2011,69869,606.4,22409.12,10.1
Egypt,Wheat,2012,75063,1227.2,18449.0,10.7
Egypt,Wheat,2013,71553,803.1,23879.32,8.34
Egypt,Soybeans,1995,39579,968.3,27647.55,9.46
Egypt,Soybeans,1996,45823,929.0,19661.76,7.99
Egypt,Soybeans,1997,42677,1013.7,30155.67,12.71
Egypt,Soybeans,1998,44367,751.4,29573.45,9.78
Egypt,Soybeans,1999,47238,1148.9,25802.21,7.65
Egypt,Soybeans,2000,43595,1027.9,26837.79,11.8
Egypt,Soybeans,2001,40943,804.2,15797.48,10.35
Egypt,Soybeans,2002,44586,1237.2,30419.13,13.86
Egypt,Soybeans,2003,48585,1049.4,28341.22,8.99
Egypt,Soybeans,2004,35179,634.2,29589.4,9.01
Egypt,Soybeans,2005,39251,732.6,14813.76,12.86
Egypt,Soybeans,2006,38207,1238.4,30554.54,8.34
Egypt,Soybeans,2007,45243,878.1,30420.57,10.25
Egypt,Soybeans,2008,50437,1277.1,25609.96,10.94
Egypt,Soybeans,2009,36420,1142.8,23486.11,10.46
Egypt,Soybeans,2010,40610,822.6,24903.01,10.27
Egypt,Soybeans,2011,39007,1054.0,31184.02,7.89
Egypt,Soybeans,2012,39685,1434.9,25337.46,9.19
Egypt,Soybeans,2013,35053,767.1,31691.06,9.44
Egypt,Sorghum,1995,55076,942.1,16723.38,10.03
Egypt,Sorghum,1996,55523,942.6,14485.52,10.11
Egypt,Sorghum,1997,54569,1039.7,27852.15,10.29
Egypt,Sorghum,1998,46648,1097.2,22017.2,10.86
Egypt,Sorghum,1999,45913,1120.3,30264.72,11.3
Egypt,Sorghum,2000,43895,866.5,27145.61,9.08
Egypt,Sorghum,2001,58921,1250.2,23171.25,9.48
Egypt,Sorghum,2002,57601,999.5,25265.04,9.8
Egypt,Sorghum,2003,57805,1531.5,17110.67,8.77
Egypt,Sorghum,2004,49949,843.6,23608.97,10.12
